No,JAKARTA TIMUR,WILAYAH,KEMACETAN
1,JL. Supriyadi / Putaran 03,JAKARTA TIMUR,Parah
2,JL. Raya Bogor / Kramat Jati,JAKARTA TIMUR,Parah
3,JL. Mayjend. Sutoyo / Uki,JAKARTA TIMUR,Parah
4,JL. Raya Kalimalang,JAKARTA TIMUR,Parah
5,JL. I Gusti Ngurah Rai,JAKARTA TIMUR,Parah
6,Terbus KP. Melayu,JAKARTA TIMUR,Parah
7,JL. Kolonel Sugiono,JAKARTA TIMUR,Parah
8,TL. Jambul,JAKARTA TIMUR,Sedang
9,JL. Raya Condet,JAKARTA TIMUR,Sedang
10,Cibubur Junction,JAKARTA TIMUR,Sedang
11,TL. Kebon Nanas,JAKARTA TIMUR,Sedang
12,JL. Jatinegata Barat,JAKARTA TIMUR,Sedang
13,Jl. Raya Pondok Kopi,JAKARTA TIMUR,Sedang
14,JL. Raya Pondok Gede,JAKARTA TIMUR,Ringan
15,Terbus Pulo Gadung,JAKARTA TIMUR,Ringan
16,JL. Raya Bekasi / Cakung,JAKARTA TIMUR,Ringan
17,JL. Urip Sumoharjo / DPN Polres,JAKARTA TIMUR,Ringan
18,TL. Radio Dalam,JAKARTA SELATAN,Parah
19,JL. Pangeran Antasari,JAKARTA SELATAN,Parah
20,JL. Kapten Tendean,JAKARTA SELATAN,Parah
21,JL. DR. Satrio,JAKARTA SELATAN,Parah
22,JL. Casablanca,JAKARTA SELATAN,Sedang
23,DPN Terbus LB. Bulus,JAKARTA SELATAN,Sedang
24,JL. Ciputat Raya,JAKARTA SELATAN,Sedang
25,Pasar PD. Labu,JAKARTA SELATAN,Sedang
26,JL. DR. Supomo,JAKARTA SELATAN,Ringan
27,JL. Raya PS. Minggu,JAKARTA SELATAN,Ringan
28,JL. Buncit Raya,JAKARTA SELATAN,Ringan
29,JL. Ciledug Raya,JAKARTA SELATAN,Ringan
30,TL. Tarkindo,JAKARTA SELATAN,Ringan
31,TL. Pertanian,JAKARTA SELATAN,Ringan
32,JL. Raya Fatmawati,JAKARTA SELATAN,Ringan
33,JL. Gunung Sahari,JAKARTA UTARA,Parah
34,JL. Raya Lodan,JAKARTA UTARA,Parah
35,JL. RE Martadinata,JAKARTA UTARA,Parah
36,JL. Danau Sunter UTR / SEL,JAKARTA UTARA,Parah
37,JL. Yos Sudarso,JAKARTA UTARA,Parah
38,JL. Raya Cacing,JAKARTA UTARA,Parah
39,TL. Enggano,JAKARTA UTARA,Sedang
40,Tanjung Priok,JAKARTA UTARA,Sedang
41,Pertigaan Boulevard Barat,JAKARTA UTARA,Sedang
42,JL. Pluit Raya (Depan Dipo),JAKARTA UTARA,Sedang
43,Marunda,JAKARTA UTARA,Ringan
44,JL. Kebon Baru,JAKARTA UTARA,Ringan
45,Gaya Motor,JAKARTA UTARA,Ringan
46,JL. Raya Cacing,JAKARTA UTARA,Ringan
47,TL. Carolus,JAKARTA PUSAT,Parah
48,TL. Pintu Besi,JAKARTA PUSAT,Parah
49,TL. Roxy,JAKARTA PUSAT,Parah
50,TL. Caringin,JAKARTA PUSAT,Parah
51,Simpang 5 Senen,JAKARTA PUSAT,Parah
52,TL. Bungur,JAKARTA PUSAT,Sedang
53,JL. Cokroaminoto,JAKARTA PUSAT,Sedang
54,TL. Raden Saleh,JAKARTA PUSAT,Sedang
55,T. Benyamin Sueb,JAKARTA PUSAT,Ringan
56,TL. Jembatan Serong,JAKARTA PUSAT,Ringan
57,TL. Jatibaru ,JAKARTA PUSAT,Ringan
58,JL. Tomang Raya,JAKARTA BARAT,Parah
59,TL. Tomang,JAKARTA BARAT,Parah
60,STKA Kota / Beos,JAKARTA BARAT,Parah
61,Pos Pengumben,JAKARTA BARAT,Sedang
62,JL. Panjang,JAKARTA BARAT,Sedang
63,Palmerah,JAKARTA BARAT,Sedang
64,TL. Slipi,JAKARTA BARAT,Ringan
65,TL. Grogol,JAKARTA BARAT,Ringan
66,JL. Daan Mogot,JAKARTA BARAT,Ringan
