No,JAKARTA TIMUR,JAKARTA SELATAN,JAKARTA UTARA,JAKARTA PUSAT,JAKARTA BARAT
1,JL. Supriyadi / Putaran 03,TL. Radio Dalam,JL. Gunung Sahari,TL. Carolus,JL. Tomang Raya
2,JL. Raya Bogor / Kramat Jati,JL. Pangeran Antasari,JL. Raya Lodan,TL. Pintu Besi,TL. Tomang
3,JL. Mayjend. Sutoyo / Uki,JL. Kapten Tendean,JL. RE Martadinata,TL. Roxy,STKA Kota / Beos
4,JL. Raya Kalimalang,JL. DR. Satrio,JL. Danau Sunter UTR / SEL,TL. Caringin,Pos Pengumben
5,JL. I Gusti Ngurah Rai,JL. Casablanca,JL. Yos Sudarso,Simpang 5 Senen,JL. Panjang
6,Terbus KP. Melayu,DPN Terbus LB. Bulus,JL. Raya Cacing,TL. Bungur,Palmerah
7,JL. Kolonel Sugiono,JL. Ciputat Raya,TL. Enggano,JL. Cokroaminoto,TL. Slipi
8,TL. Jambul,Pasar PD. Labu,Tanjung Priok,TL. Raden Saleh,TL. Grogol
9,JL. Raya Condet,JL. DR. Supomo,Pertigaan Boulevard Barat,T. Benyamin Sueb,JL. Daan Mogot
10,Cibubur Junction,JL. Raya PS. Minggu,JL. Pluit Raya (Depan Dipo),TL. Jembatan Serong,
11,TL. Kebon Nanas,JL. Buncit Raya,Marunda,TL. Jatibaru ,
12,JL. Jatinegata Barat,JL. Ciledug Raya,JL. Kebon Baru,,
13,Jl. Raya Pondok Kopi,TL. Tarkindo,Gaya Motor,,
14,JL. Raya Pondok Gede,TL. Pertanian,JL. Raya Cacing,,
15,Terbus Pulo Gadung,JL. Raya Fatmawati,,,
16,JL. Raya Bekasi / Cakung,,,,
17,JL. Urip Sumoharjo / DPN Polres,,,,
