Kabupaten/Kota,Luas (Km2 ),,,
Kota Jakarta Selatan,145.73,,,
Kota Jakarta Timur,188.19,,,
Kota Jakarta Pusat,48.08,,,
Kota Jakarta Barat,127.11,,,
Kota Jakarta Utara,143.21,,,
DKI JAKARTA ,652.32,,,
,,,,
Jakarta Selatan,Luas (Km2 ),,,
Tebet,9.53,,,
kebayoran baru,12.91,,,
Kebayoran Baru,19.31,,,
Pesanggrahan,13.47,,,
Cilandak,18.2,,,
Pasar Minggu,21.91,,,
Jagakarsa,25.38,,,
Mampang Prapatan,7.74,,,
Pancoran,8.23,,,
Setiabudi,9.05,,,
,,,,
Jakarta Barat,Luas (Km2 ),,,
Taman Sari,4.36,,,
Tambora,5.48,,,
Palmerah,7.52,,,
Grogol Petamburan,11.46,,,
Kebon Jeruk,16.64,,,
Kembangan,24.64,,,
Cengkareng,27.93,,,
Kali Deres,29.08,,,
,,,,
Jakarta Pusat,Luas (Km2 ),,,
Gambir,7.6,,,
Tanah Abang,9.3,,,
Menteng,6.53,,,
Senen,4.23,,,
Cempaka Putih,4.69,,,
Kemayoran,7.13,,,
Sawah Besar,6.22,,,
Johar Baru,2.38,,,
,,,,
Jakarta Utara,Luas (Km2 ),,,
Cilincing,42.56,,,
Koja,11.74,,,
Kelapa Gading,16.12,,,
Tanjung Priok,24.9,,,
Pademangan,11.91,,,
Penjaringan,35.98,,,
,,,,
Jakarta Timur,Luas (Km2 ),,,
Matraman,4.85,,,
Pulo Gadung,14.98,,,
Jatinegara,10.64,,,
Duren Sawit,22.81,,,
Kramat Jati,13.34,,,
Makasar,21.64,,,
Pasar Rebo,12.94,,,
Ciracas,16.08,,,
Cipayung,28.44,,,
Cakung,42.47,,,
